,LSD,Psilocybin,DMT,Mescaline,DOx,NBOMes,2C-x,2C-T-x,5-MeO-xxT,Cannabis,Ketamine,MXE,DXM,Nitrous ,Amphetamines,MDMA,Cocaine,Caffeine,Alcohol,GHB/GBL,Opiods,Tramadol,Benzodiazepine,MAOIs,SSRIs,Salvia divonorum,Acacia species,Mimosa tenuiflora,Panaelous cyanescens,Argyreia nervosa,Ipomea violacea,Rivea corymbosa,Amanita muscaria,Trichocereus species,Lophpopra willamsii,Incillius alvarius,Mitragyna speciosa,Papaver somnifarem,Banisteriopsis caapi,Piper methysticum,Catha edulis,Ephedra sinica,Eroxythylum coca,Phyllomedusa bicolor,Tabernathe iboga
LSD,LSD,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence
Psilocybin,Medium confidence,Psilocybin,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,,Medium confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence
DMT,Medium confidence,Medium confidence,DMT,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,,Medium confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence
Mescaline,Medium confidence,Medium confidence,Medium confidence,Mescaline,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,,Medium confidence,,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence
DOx,Low confidence,Low confidence,Low confidence,Low confidence,DOx,Low confidence,Low confidence,Low confidence,Low confidence,,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
NBOMes,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,NBOMes,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
2C-x,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,2C-x,Low confidence,Low confidence,Medium confidence,Medium confidence,,Low confidence,Medium confidence,Medium confidence,Medium confidence,,Medium confidence,Medium confidence,,Medium confidence,,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
2C-T-x,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,2C-T-x,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
5-MeO-xxT,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,5-MeO-xxT,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Cannabis,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Cannabis,High confidence,Low confidence,Medium confidence,High confidence,High confidence,Medium confidence,Medium confidence,High confidence,High confidence,Medium confidence,High confidence,High confidence,High confidence,High confidence,High confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence
Ketamine,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Ketamine,Low confidence,Medium confidence,High confidence,High confidence,Medium confidence,Medium confidence,High confidence,High confidence,Medium confidence,High confidence,High confidence,High confidence,High confidence,High confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
MXE,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,MXE,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
DXM,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Low confidence,DXM,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Nitrous ,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,High confidence,High confidence,Low confidence,Medium confidence,Nitrous ,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Amphetamines,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,High confidence,High confidence,Low confidence,Medium confidence,Medium confidence,Amphetamines,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
MDMA,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,MDMA,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Cocaine,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Cocaine,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Caffeine,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,High confidence,High confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Caffeine,High confidence,Medium confidence,High confidence,High confidence,High confidence,High confidence,High confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Alcohol,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,High confidence,High confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,High confidence,Alcohol,Medium confidence,High confidence,High confidence,High confidence,High confidence,High confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
GHB/GBL,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,GHB/GBL,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Opiods,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,High confidence,High confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,High confidence,High confidence,Medium confidence,Opiods,High confidence,High confidence,High confidence,High confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Tramadol,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,High confidence,High confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,High confidence,High confidence,Medium confidence,High confidence,Tramadol,High confidence,High confidence,High confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Benzodiazepine,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,High confidence,High confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,High confidence,High confidence,Medium confidence,High confidence,High confidence,Benzodiazepine,High confidence,High confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
MAOIs,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,High confidence,High confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,High confidence,High confidence,Medium confidence,High confidence,High confidence,High confidence,MAOIs,High confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
SSRIs,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,High confidence,High confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,High confidence,High confidence,Medium confidence,High confidence,High confidence,High confidence,High confidence,SSRIs,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Salvia divonorum,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Salvia dionorum,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Acacia species,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Acacia species,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Mimosa tenuiflora,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Mimosa tenuiflora,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Panaelous cyanescens,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Panaelous cyanescens,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Argyreia nervosa,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Argyreia nervosa,,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Ipomea violacea,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Ipomea violacea,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Rivea corymbosa,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Rivea corymbosa,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Amanita muscaria,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Amanita muscaria,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Trichocereus species,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Trichocereus species,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Lophpopra willamsii,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Lophpopra willamsii,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Incillius alvarius,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Incillius alvarius,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Mitragyna speciosa,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Mitragyna speciosa,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Papaver somnifarem,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Papaver somnifarem,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Banisteriopsis caapi,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Banisteriopsis caapi,,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Piper methysticum,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Piper methysticum,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Catha edulis,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Catha edulis,Low confidence,Low confidence,Low confidence,Low confidence
Ephedra sinica,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Ephedra sinica,Low confidence,Low confidence,Low confidence
Eroxythylum coca,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Eroxythylum coca,Low confidence,Low confidence
Phyllomedusa bicolor,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Phyllomedusa bicolor,Low confidence
Tabernathe iboga,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Tabernathe iboga