	Insulin	Metformin	Antibiotics	Proton pump inhibitors	Ibuprofen	Paracetemol	Beta blockers	ACE inhibitors / ARBs 	Statins	Meditation	Salvinorin A	Salvia divinorum	DMT	Acacia species	LSD	Ergine	Argyreia nervosa	Diplopterys cabrerana	Psilocybin	Psilocin	Gymnopilus species	Ipomoea violacea	2C-T-x	2C-x	Mescaline	Lophophora williamsii	Mimosa species	Panaeolus species	Psilocybe species	Psychotria species	Turbina corymbosa	Virola species	Trichocereus species	DOx	DOI	25I-NBOMe	NBOMes	Benzodiazipines	Alprazolam	Diazepam	GBL	GHB	Alcohol	Amanita muscaria	Bufotenine	Anadenanthera species	5-MeO-xxT	5-MeO-DMT	Incillius alvarius	Phalaris species	Phyllomedusa bicolor	Tramadol	Mitragynine	Mitragyna speciosa	Opioids	Codeine	Heroin	Papaver species	Nitrous oxide	MXE	DXM	Ketamine	Cannabis species	Arecoline	Areca catechu	Caffeine	Camellia sinensis	Coffea species	Cola species	Duboisia hopwoodii	Ilex paraguariensis	Nicotine	Nicotiana species	Mesembrine	Sceletium species	Eugenol	Piper betle	MDMA	MDA	Safrole	Sassafras species	Myristicin	Myristica species	SSRIs	MAOIs	Harmalas	Harmaline	Harmine	Banisteriopsis caapi	Peganum harmala	Passiflora species	Kavalactones	Piper methysticum	Methcathinone	Mephedrone	Cathinones	Catha edulis	Methamphetamine	Amphetamines	Ephedrine	Ephedra species	Cocaine	Erythroxylum species	Levodopa	Mucuna pruriens	Ibogaine	Tabernanthe iboga	Tropanes	Hyoscyamine	Scopolamine	Brugmansia species	Datura species	
Psilocin																				Psilocin	MC	MC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Psilocin
Gymnopilus species																					Gymnopilus species	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Gymnopilus species
Ipomoea violacea																						Ipomoea violacea	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC					LC			MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Ipomoea violacea
2C-T-x																							2C-T-x	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	2C-T-x
2C-x																								2C-x	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	2C-x
Mescaline																									Mescaline	MC	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Mescaline
Lophophora williamsii																										Lophophora williamsii	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Lophophora williamsii
Mimosa species																											Mimosa species	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Mimosa species
Panaeolus species																												Panaeolus species	MC	MC	MC	LC	MC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Panaeolus species
Psilocybe species																													Psilocybe species	MC	MC	LC	MC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Psilocybe species
Psychotria species																														Psychotria species	MC	LC	MC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Psychotria species
Turbina corymbosa																															Turbina corymbosa	LC	MC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Turbina corymbosa
Virola species																																Virola species	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Virola species
Trichocereus species																																	Trichocereus species	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC			LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	Trichocereus species
DOx																																		DOx	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	DOx
DOI																																			DOI	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	DOI
25I-NBOMe																																				25I-NBOMe	LC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC			LC									LC	MC	MC	LC	MC	MC	MC	MC	25I-NBOMe
NBOMes																																					NBOMes	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	NBOMes
Benzodiazipines																																						Benzodiazipines	MC	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	HC	MC	MC	MC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Benzodiazipines
Alprazolam																																							Alprazolam	MC	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	HC	MC	MC	HC	HC	MC	MC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Alprazolam
Diazepam																																								Diazepam	MC	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	HC	MC	MC	HC	HC	MC	MC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Diazepam
GBL																																									GBL	MC	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	HC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	GBL
GHB																																										GHB	MC	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	HC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	GHB
Alcohol																																											Alcohol	LC	LC	LC	LC	MC	LC	LC	LC	MC	LC	MC	MC	MC	MC	MC	HC	MC	MC	HC	HC	MC	MC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	MC	MC	MC	LC	LC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	MC	MC	MC	LC	MC	HC	MC	MC	MC	MC	MC	MC	LC	MC	MC	LC	MC	MC	MC	MC	Alcohol
Amanita muscaria																																												Amanita muscaria	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Amanita muscaria
Bufotenine																																													Bufotenine	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Bufotenine
Anadenanthera species																																														Anadenanthera species	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	Anadenanthera species
5-MeO-xxT																																															5-MeO-xxT	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	LC	5-MeO-xxT
