	Insulin	Metformin	Antibiotics	Proton pump inhibitors	Ibuprofen	Paracetemol	Beta blockers	ACE inhibitors / ARBs 	Statins	Meditation	Salvinorin A	Salvia divinorum	DMT	Acacia species	LSD	Ergine	Argyreia nervosa	Diplopterys cabrerana	Psilocybin	Psilocin	Gymnopilus species	Ipomoea violacea	2C-T-x	2C-x	Mescaline	Lophophora williamsii	Mimosa species	Panaeolus species	Psilocybe species	Psychotria species	Turbina corymbosa	Virola species	Trichocereus species	DOx	DOI	25I-NBOMe	NBOMes	Benzodiazipines	Alprazolam	Diazepam	GBL	GHB	Alcohol	Amanita muscaria	Anadenanthera species	5-MeO-xxT	5-MeO-DMT	Incillius alvarius	Phalaris species	Phyllomedusa bicolor	Tramadol	Mitragynine	Mitragyna speciosa	Opioids	Codeine	Heroin	Papaver species	Nitrous oxide	MXE	DXM	Ketamine	Cannabis species	Arecoline	Areca catechu	Caffeine	Camellia sinensis	Coffea species	Cola species	Duboisia hopwoodii	Ilex paraguariensis	Nicotine	Nicotiana species	Mesembrine	Sceletium species	Eugenol	Piper betle	MDMA	MDA	Safrole	Sassafras species	Myristicin	Myristica species	SSRIs	MAOIs	Harmalas	Harmaline	Harmine	Banisteriopsis caapi	Peganum harmala	Passiflora species	Kavalactones	Piper methysticum	Methcathinone	Mephedrone	Cathinones	Catha edulis	Methamphetamine	Amphetamines	Ephedrine	Ephedra species	Cocaine	Erythroxylum species	Levodopa	Mucuna pruriens	Ibogaine	Tabernanthe iboga	Tropanes	Hyoscyamine	Scopolamine	Brugmansia species	Datura species
2C-x	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	MR	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	2C-x	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	LRS	MR	MR	MR	MR	LRD	LRD	LRD	LRD	LRD	LRD	LRNS	LRS	MR	MR	MR	MR	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRD	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	SR	SR	SR	SR	SR
Mescaline	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	MR	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	Mescaline	LRS	LRS	LRS	LRS	LRS	LRS	MR	LRS	MR	MR	MR	MR	LRD	LRD	LRD	LRD	LRD	LRD	LRNS	LRS	MR	MR	MR	MR	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRD	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR
Lophophora williamsii	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	MR	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	Lophophora williamsii	LRS	LRS	LRS	LRS	LRS	MR	LRS	MR	MR	MR	MR	LRD	LRD	LRD	LRD	LRD	LRD	LRNS	LRS	MR	MR	MR	MR	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRD	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR
Mimosa species	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	Mimosa species	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRD	LRD	LRD	LRD	LRD	LRD	LRNS	LRS	LRS	LRS	LRS	LRS	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRD	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR
Panaeolus species	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	Panaeolus species	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRD	LRD	LRD	LRD	LRD	LRD	LRNS	LRS	LRS	LRS	LRS	LRS	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRD	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR
Psilocybe species	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	Psilocybe species	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRD	LRD	LRD	LRD	LRD	LRD	LRNS	LRS	LRS	LRS	LRS	LRS	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRD	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR
Psychotria species	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	Psychotria species	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRD	LRD	LRD	LRD	LRD	LRD	LRNS	LRS	LRS	LRS	LRS	LRS	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRD	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR
Turbina corymbosa	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	Turbina corymbosa	LRS	LRS	LRS	LRS	LRS	LRS	LRD	LRD	LRD	LRD	LRD	LRD	LRNS	LRS	LRS	LRS	LRS	LRS	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRD	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR
Virola species	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	Virola species	MR	MR	MR	MR	MR	LRD	LRD	LRD	LRD	LRD	LRD	LRNS	SR	SR	SR	SR	SR	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	GR	LRS	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRD	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR
Trichocereus species	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	MR	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	Trichocereus species	MR	MR	MR	MR	LRD	LRD	LRD	LRD	LRD	LRD	LRNS	LRS	MR	MR	MR	MR	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRD	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR
DOx	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	MR	MR	DOx	LRS	MR	MR	LRD	LRD	LRD	LRD	LRD	LRD	LRD	MR	MR	MR	MR	MR	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	MR	GR	LRS	MR	LRNS	LRNS	MR	MR	MR	MR	LRNS	MR	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRD	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	MR	MR	GR	GR	GR	GR	GR
DOI	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	MR	MR	LRS	DOI	MR	MR	LRD	LRD	LRD	LRD	LRD	LRD	LRD	MR	MR	MR	MR	MR	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	MR	GR	LRS	MR	LRNS	LRNS	MR	MR	MR	MR	LRNS	MR	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRD	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	MR	MR	GR	GR	GR	GR	GR
25I-NBOMe	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	25I-NBOMe	LRS	LRD	LRD	LRD	LRD	LRD	LRD	LRD	MR	MR	MR	MR	MR	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	MR	GR	LRS	MR	LRNS	LRNS	MR	MR	MR	MR	LRNS	MR	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRD	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	MR	MR	GR	GR	GR	GR	GR
NBOMes	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	NBOMes	LRD	LRD	LRD	LRD	LRD	LRD	LRD	MR	MR	MR	MR	MR	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	MR	GR	LRS	MR	LRNS	LRNS	MR	MR	MR	MR	LRNS	MR	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRD	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	MR	MR	GR	GR	GR	GR	GR
Benzodiazipines	LRNS	LRNS	MR	MR	LRNS	MR	LRS	MR	LRNS	LRS	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	Benzodiazipines	LRS	LRS	SR	SR	SR	SR	LRD	LRD	LRD	LRD	LRD	SR	SR	SR	SR	SR	SR	SR	SR	LRD	MR	MR	MR	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	GR	GR	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	MR	MR	GR	GR	GR	GR	GR
Alprazolam	LRNS	LRNS	MR	LRNS	LRNS	MR	LRS	MR	LRNS	LRS	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRS	Alprazolam	LRS	SR	SR	SR	SR	LRD	LRD	LRD	LRD	LRD	SR	SR	SR	SR	SR	SR	SR	SR	LRD	MR	MR	MR	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	GR	GR	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	MR	MR	GR	GR	GR	GR	GR
Diazepam	LRNS	LRNS	MR	MR	LRNS	MR	LRS	MR	LRNS	LRS	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRS	LRS	Diazepam	SR	SR	SR	SR	LRD	LRD	LRD	LRD	LRD	SR	SR	SR	SR	SR	SR	SR	SR	LRD	MR	MR	MR	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	GR	GR	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	MR	MR	GR	GR	GR	GR	GR
GBL	MR	LRNS	MR	LRNS	MR	MR	MR	GR	MR	LRS	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	SR	SR	SR	GBL	SR	SR	SR	LRD	LRD	LRD	LRD	LRD	SR	SR	SR	SR	SR	SR	SR	SR	MR	SR	SR	SR	LRS	MR	MR	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	SR	SR	SR	SR	SR	SR	SR
GHB	MR	LRNS	MR	LRNS	MR	MR	MR	GR	MR	LRS	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	SR	SR	SR	SR	GHB	SR	SR	LRD	LRD	LRD	LRD	LRD	SR	SR	SR	SR	SR	SR	SR	SR	MR	SR	SR	SR	LRS	MR	MR	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	SR	SR	SR	SR	SR	SR	SR
Alcohol	GR	LRNS	GR	MR	MR	MR	MR	GR	MR	LRS	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	SR	SR	SR	SR	SR	Alcohol	SR	LRD	LRD	LRD	LRD	LRD	SR	SR	SR	SR	SR	SR	SR	SR	MR	SR	SR	SR	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	MR	SR	SR	SR	SR	SR	SR	SR
Amanita muscaria	MR	LRNS	MR	LRNS	MR	MR	MR	GR	MR	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRD	LRD	LRD	SR	SR	SR	SR	SR	SR	Amanita muscaria	LRS	LRS	LRS	LRS	LRS	LRNS	SR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	SR	SR	SR	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR
Anadenanthera species	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	SR	LRS	MR	MR	MR	MR	LRD	LRD	LRD	LRD	LRD	LRD	LRS	Anadenanthera species	LRS	LRS	LRS	LRS	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	GR	SR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRD	SR	SR	SR	SR	SR	SR	SR	SR	SR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR
5-MeO-xxT	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	SR	MR	MR	MR	MR	MR	LRD	LRD	LRD	LRD	LRD	LRD	LRS	LRS	5-MeO-xxT	LRS	LRS	LRS	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	GR	SR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRD	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR
5-MeO-DMT	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	SR	MR	MR	MR	MR	MR	LRD	LRD	LRD	LRD	LRD	LRD	LRS	LRS	LRS	5-MeO-DMT	LRS	LRS	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	GR	SR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRD	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR
Incillius alvarius	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	SR	MR	MR	MR	MR	MR	LRD	LRD	LRD	LRD	LRD	LRD	LRS	LRS	LRS	LRS	Incillius alvarius	LRS	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	GR	SR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRD	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR
Phalaris species	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	SR	MR	MR	MR	MR	MR	LRD	LRD	LRD	LRD	LRD	LRD	LRS	LRS	LRS	LRS	LRS	Phalaris species	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	GR	SR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRD	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR
Phyllomedusa bicolor	MR	MR	MR	LRNS	LRNS	LRNS	MR	MR	MR	LRS	LRS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	SR	SR	SR	SR	SR	SR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	Phyllomedusa bicolor	SR	GR	GR	GR	GR	GR	GR	MR	SR	SR	SR	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	LRNS	LRNS	LRD	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	GR	GR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	MR	MR	SR	SR	SR	SR	SR	SR	SR
Tramadol	MR	MR	MR	LRNS	LRNS	LRNS	GR	GR	GR	LRS	LRNS	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR	GR	GR	GR	GR	GR	SR	Tramadol	SR	SR	SR	SR	SR	SR	MR	SR	SR	SR	LRS	GR	GR	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR
